method,n,imp_V0,tr_V0,pval0,imp_V1,tr_V1,pval1,imp_V2,tr_V2,pval2,imp_V3,tr_V3,pval3,imp_V4,tr_V4,pval4,imp_V5,tr_V5,pval5,imp_V6,tr_V6,pval6,imp_V7,tr_V7,pval7,imp_V8,tr_V8,pval8,imp_V9,tr_V9,pval9,imp_V10,tr_V10,pval10,imp_V11,tr_V11,pval11,imp_V12,tr_V12,pval12,imp_V13,tr_V13,pval13,imp_V14,tr_V14,pval14,imp_V15,tr_V15,pval15,imp_V16,tr_V16,pval16,imp_V17,tr_V17,pval17,imp_V18,tr_V18,pval18,imp_V19,tr_V19,pval19,imp_V20,tr_V20,pval20,imp_V21,tr_V21,pval21,imp_V22,tr_V22,pval22,imp_V23,tr_V23,pval23,imp_V24,tr_V24,pval24,imp_V25,tr_V25,pval25,imp_V26,tr_V26,pval26,imp_V27,tr_V27,pval27,imp_V28,tr_V28,pval28,imp_V29,tr_V29,pval29,imp_V30,tr_V30,pval30,imp_V31,tr_V31,pval31,imp_V32,tr_V32,pval32,imp_V33,tr_V33,pval33,imp_V34,tr_V34,pval34,imp_V35,tr_V35,pval35,imp_V36,tr_V36,pval36,imp_V37,tr_V37,pval37,imp_V38,tr_V38,pval38,imp_V39,tr_V39,pval39,imp_V40,tr_V40,pval40,imp_V41,tr_V41,pval41,imp_V42,tr_V42,pval42,imp_V43,tr_V43,pval43,imp_V44,tr_V44,pval44,imp_V45,tr_V45,pval45,imp_V46,tr_V46,pval46,imp_V47,tr_V47,pval47,imp_V48,tr_V48,pval48,imp_V49,tr_V49,pval49
r-CPI,100,0.042449957312806964,0.0,0.0,-4.037174635000569e-16,0.0,1.0,-4.037174635000569e-16,0.0,1.0,-0.05027567303260241,0.0,1.0,-4.037174635000569e-16,0.0,1.0,-4.037174635000569e-16,0.0,1.0,-4.037174635000569e-16,0.0,1.0,-4.037174635000569e-16,0.0,1.0,0.14437534233418425,0.0,0.0,-0.007180563970326565,0.0,1.0,-4.037174635000569e-16,0.0,1.0,0.4790785783565928,1.0,0.0,0.01105945577061209,0.0,0.0,0.5036912374006067,1.0,0.0,-4.037174635000569e-16,0.0,1.0,-4.037174635000569e-16,0.0,1.0,-0.026516126692400877,0.0,1.0,-4.037174635000569e-16,0.0,1.0,0.14190743681147236,0.0,0.0,-4.037174635000569e-16,0.0,1.0,-4.037174635000569e-16,0.0,1.0,-4.037174635000569e-16,0.0,1.0,0.17278948922172924,0.0,0.0,-4.037174635000569e-16,0.0,1.0,-4.037174635000569e-16,0.0,1.0,-4.037174635000569e-16,0.0,1.0,-4.037174635000569e-16,0.0,1.0,-4.037174635000569e-16,0.0,1.0,-4.037174635000569e-16,0.0,1.0,1.0471977741255885,1.0,0.0,0.9507109777416726,1.0,0.0,1.0952930305443167,1.0,0.0,-4.037174635000569e-16,0.0,1.0,0.8789965451520875,1.0,0.0,0.00540702393418201,0.0,0.0,-0.2808907889069946,0.0,1.0,0.05185119873883542,0.0,0.0,0.4487552360519954,1.0,0.0,-0.02639704116772198,0.0,1.0,-0.2992816408528483,0.0,1.0,-0.13497217130248054,0.0,1.0,-4.037174635000569e-16,0.0,1.0,-0.08028796388883652,0.0,1.0,-0.09459483295262784,0.0,1.0,0.6865623418866679,0.0,0.0,0.2907627723185634,1.0,0.0,0.5451869462487431,1.0,0.0,-0.021947417990638405,0.0,1.0,0.8922323277973008,1.0,0.0,-4.037174635000569e-16,0.0,1.0
r-CPI,200,-0.004047352949011989,0.0,1.0,0.0,0.0,,0.0,0.0,,0.023806885932292732,0.0,0.0,0.0,0.0,,0.019434573712804125,0.0,0.0,-0.013356786186536402,0.0,1.0,0.0,0.0,,0.0063993374469289484,0.0,0.0,0.6879688790766922,1.0,0.0,0.0,0.0,,0.0017122502966076586,0.0,0.0,0.0,0.0,,0.020283539802616476,0.0,0.0,0.9727145904086953,1.0,0.0,0.36571595747601865,1.0,0.0,-0.03534207708780868,0.0,1.0,1.4863295068250937,1.0,0.0,0.0,0.0,,0.02150339010710691,0.0,0.0,0.0,0.0,,0.7114665768466671,1.0,0.0,-0.03410398042137608,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.1590789148468746,1.0,0.0,-0.006541504085826927,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.6801888748594082,1.0,0.0,0.0,0.0,,-0.0006592717577252378,0.0,1.0,0.0,0.0,,-0.0027728998703680963,0.0,1.0,0.6672244426530667,1.0,0.0,-0.02528980870034109,0.0,1.0,0.0,0.0,,0.4432144458757566,1.0,0.0,0.08101850275439708,0.0,0.0,1.615553205715389,1.0,0.0,0.029660391672494072,0.0,0.0,0.0,0.0,,0.0,0.0,,0.010398656902033726,0.0,0.0,0.0,0.0,,0.0,0.0,,0.024517607244688332,0.0,0.0,0.0,0.0,
CPI,100,-0.03378177235858759,0.0,1.0,0.0,0.0,,0.0,0.0,,-0.01823998362752932,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.03593092320986213,0.0,0.0,-0.0019247432100464312,0.0,1.0,0.0,0.0,,0.5220467068297019,1.0,0.0,-0.05442280889919271,0.0,1.0,0.24467345337096646,1.0,0.0,0.0,0.0,,0.0,0.0,,-0.0037732361070637044,0.0,1.0,0.0,0.0,,0.06842878982954947,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.19237517888196964,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.5884599256703962,1.0,0.0,0.7355426353120613,1.0,0.0,0.9957798388839185,1.0,0.0,0.0,0.0,,0.5589685578497776,1.0,0.0,-0.01024203577934868,0.0,1.0,-0.1666849825165333,0.0,1.0,0.11407731811543798,0.0,0.0,0.649013430040636,1.0,0.0,-0.010691916212158814,0.0,1.0,-0.05325850695607315,0.0,1.0,-0.03126755689444627,0.0,1.0,0.0,0.0,,-0.019048158768500745,0.0,1.0,-0.010349725343678395,0.0,1.0,0.7232304588292666,0.0,0.0,1.0447389075708857,1.0,0.0,0.6288082046876506,1.0,0.0,-0.005827060787192195,0.0,1.0,0.8846695000418952,1.0,0.0,0.0,0.0,
CPI,200,0.007959011410693995,0.0,0.0,0.0,0.0,,0.0,0.0,,0.04147196923306695,0.0,0.0,0.0,0.0,,0.02608517711543512,0.0,0.0,-0.0010216958592610403,0.0,1.0,0.0,0.0,,0.004663068240144952,0.0,0.0,0.5439890104461227,1.0,0.0,0.0,0.0,,0.0015474486726858583,0.0,0.0,0.0,0.0,,0.01848430512053767,0.0,0.0,0.6914094368403867,1.0,0.0,0.32601571998827183,1.0,0.0,0.0016814463077514663,0.0,0.0,0.9682095937085036,1.0,0.0,0.0,0.0,,0.018811190343039685,0.0,0.0,0.0,0.0,,0.49293915805270117,1.0,0.0,-0.02765261837661015,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,-0.004799142591252137,1.0,1.0,-0.016845802160263768,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,1.6282833719744891,1.0,0.0,0.0,0.0,,-0.0037204889158009014,0.0,1.0,0.0,0.0,,0.002104956782139622,0.0,0.0,0.4178996016712797,1.0,0.0,-0.020564189363181606,0.0,1.0,0.0,0.0,,0.6945984404459531,1.0,0.0,0.05876546983210296,0.0,0.0,1.0884479819403192,1.0,0.0,0.02529841640189634,0.0,0.0,0.0,0.0,,0.0,0.0,,-0.0011447676987774713,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0033502512260554784,0.0,0.0,0.0,0.0,
LOCO-W,100,0.7997045057291867,0.0,0.05769242634498439,0.04186381116949275,0.0,0.44067942478535393,0.26288729110317016,0.0,0.17665632089322758,1.3603771621725829,0.0,6.432827747371306e-06,0.3577945495405241,0.0,0.11455872240999354,-0.5712454524537306,0.0,0.9832733496584476,1.294492260308398,0.0,5.855646274532944e-07,0.06215965022750944,0.0,0.39854707962095615,3.1674980829604613,0.0,1.2075150457313555e-07,-0.5276077786981116,0.0,0.9495001289691544,0.4623345287650337,0.0,0.04497276448415144,0.5517335030331787,1.0,0.010325962702101843,-0.13095534800282158,0.0,0.6758758393228046,-0.0736961060307076,1.0,0.6141252344097671,-1.2549497890345114,0.0,0.9970265997044471,0.4125738205940572,0.0,0.1135622010965659,-0.322812169192371,0.0,0.8585586426919982,-0.07102202797908773,0.0,0.6237617362941071,0.31343870529272,0.0,0.1218937044777546,-0.6130127923417665,0.0,0.9777546402643245,0.20192449877152693,0.0,0.18220285591880558,0.2921065314773675,0.0,0.17697283530937258,1.146941896528604,0.0,0.001101804261423034,0.0319485369061532,0.0,0.4518382463340519,0.012509751731152263,0.0,0.47866472802748705,-0.8755012938905847,0.0,0.989549732553955,0.9507097773784658,0.0,0.001391550989068846,-0.2695477557180478,0.0,0.8214802916653483,0.4659058262680961,0.0,0.08819122772267418,4.89418564321375,1.0,5.165936024509321e-07,3.0613433217480797,1.0,3.255789234879458e-07,0.9219652907466428,1.0,0.0034045317213498016,-0.7702115106235402,0.0,0.9999955137836442,0.6209569478287859,1.0,0.09353008406832586,3.214139921651059,0.0,7.431733006768582e-11,-0.10563130373198873,0.0,0.6451781966152864,-0.1537150872623089,0.0,0.6859418516691851,0.2324551547307082,1.0,0.21979841413828027,-0.02439082259171563,0.0,0.5399601433144889,4.291700039137218,0.0,7.451567918259627e-09,-1.584293373633049,0.0,0.9999999584539931,-0.3194055712181491,0.0,0.8943799536567723,0.7841721501893458,0.0,0.009424835957947852,0.233934665768797,0.0,0.25638544232807425,-0.27320497416101663,0.0,0.8130898363768944,-1.0611379493363415,1.0,0.9993150701609788,0.7045852533115862,1.0,0.00041945951738164844,-0.13299482656597864,0.0,0.7041785255532753,0.0897887972838222,1.0,0.3571988909713104,0.5020042659932648,0.0,0.0374086883579795
LOCO-W,200,-0.08101335940299574,0.0,0.5672064814889772,-0.0880534888413527,0.0,0.5770405871177176,0.23137469206109737,0.0,0.31702008682200034,-0.5206454549377993,0.0,0.8690234111199782,-0.6661142764917704,0.0,0.9021527311098624,0.8731164529960077,0.0,0.029937933105832926,-0.46437514898957194,0.0,0.819635864832144,-0.32374287770437404,0.0,0.7699406937715078,-0.5866051545353109,0.0,0.8790314393630821,0.35315106176270633,1.0,0.21043400884234353,-0.2088870817165122,0.0,0.6964364997181699,-0.37606267756505873,0.0,0.7826586135953539,0.3993645661225039,0.0,0.18372376925335832,-0.5954328542915129,0.0,0.9141842821141501,-0.4859293844984825,1.0,0.8723511862208752,0.5989546634985189,1.0,0.12202683546571746,1.4654782294746944,0.0,0.002457688761437371,1.9089671740410856,1.0,0.00030505729055407826,0.2875490647443927,0.0,0.2603963072592419,0.17057905293893572,0.0,0.3590516466410044,0.31661504607309077,0.0,0.26244265744457507,0.6291342908301288,1.0,0.07041553642038301,0.6784708357045686,0.0,0.0649726808246962,-0.17672975356461887,0.0,0.6650911649005355,0.10348483137384518,0.0,0.41692835166216724,-0.20211131062145984,0.0,0.6789646628859995,0.8322398581522689,1.0,0.04723512673887831,-0.2898021956291822,0.0,0.7722596857119475,-0.5790439767994292,0.0,0.8760941568624104,1.1722776905361434,0.0,0.004612744750193243,0.6053034188732964,0.0,0.08325337115139586,0.45396449880169737,1.0,0.14787935759352688,1.0959180984889474,0.0,0.015694139617566494,-0.61730665441881,0.0,0.9010550356457714,0.8397360802456023,0.0,0.029926787472476346,-0.17734862801978013,0.0,0.6409151352152842,0.9279869141119456,1.0,0.05929175239602369,-0.4532850092274043,0.0,0.8573467841432842,0.4567937385457681,0.0,0.1490538943468135,1.1597128583555782,1.0,0.01447906821842282,-0.639663195073935,0.0,0.9079571700776257,1.2179434297484306,1.0,0.01873141985278104,1.5149924526020038,0.0,0.0007054377785705723,0.12231537465822678,0.0,0.3958443785433847,0.07066303463776184,0.0,0.43932717799184273,0.30121724025897995,0.0,0.259037373487908,-0.6528111365279986,0.0,0.9160458116785322,0.6560848963798822,0.0,0.08377622088860193,-0.6758938336419784,0.0,0.9451195613190879,0.3306019239152024,0.0,0.23505396348559804
r-CPI,100,-0.001002248004825613,0.0,1.0,0.1277543535820123,0.0,0.0,0.8938091179798175,1.0,0.0,0.8671880352843172,1.0,0.0,0.0,0.0,,1.6058668041870063,1.0,0.0,-0.050845822774069044,0.0,1.0,-0.004248473764745242,0.0,1.0,-0.002689453534465904,0.0,1.0,0.21215928878391985,0.0,0.0,0.0,0.0,,-0.07572008495914127,0.0,1.0,-0.0369823120166676,0.0,1.0,0.0,0.0,,-0.009417375020970488,0.0,1.0,0.05427260209381708,0.0,0.0,0.09126042547562915,0.0,0.0,-0.21846084702110732,0.0,1.0,1.3977254062601292,1.0,0.0,-0.01991654508605026,0.0,1.0,0.0,0.0,,0.0,0.0,,0.036109357626104614,0.0,0.0,-0.0055037045082154375,0.0,1.0,0.011391291311212111,0.0,0.0,0.0,0.0,,-0.14422137696514833,0.0,1.0,-0.8436222971802327,1.0,1.0,0.0,0.0,,-0.23346302761296364,1.0,1.0,0.06632801725692371,0.0,0.0,0.0,0.0,,0.0,0.0,,0.7899010994460376,1.0,0.0,0.3253336937616465,1.0,0.0,0.38040554312491454,1.0,0.0,-0.017841712038214105,0.0,1.0,0.0,0.0,,1.1987403852267953,1.0,0.0,-0.08940192756049131,0.0,1.0,-0.023347195036229416,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,-0.07166674987096545,0.0,1.0,0.0,0.0,,-0.09614331315683909,0.0,1.0,0.040935037405699475,0.0,0.0,0.0036809405386877877,0.0,0.0
r-CPI,200,-0.015402430039924798,0.0,1.0,-4.037174635000569e-16,0.0,1.0,-0.00545073783858576,0.0,1.0,-0.02296734809039812,0.0,1.0,0.6955170355395168,1.0,0.0,-4.037174635000569e-16,0.0,1.0,0.7893330704881479,1.0,0.0,-4.037174635000569e-16,0.0,1.0,0.0020615840495514185,0.0,0.0,-4.037174635000569e-16,0.0,1.0,0.6920535259452193,1.0,0.0,-4.037174635000569e-16,0.0,1.0,0.09775123749234686,0.0,0.0,-4.037174635000569e-16,0.0,1.0,-4.037174635000569e-16,0.0,1.0,0.5157808967861505,1.0,0.0,-0.018126876410266102,0.0,1.0,-4.037174635000569e-16,0.0,1.0,0.19999174256738897,1.0,0.0,-4.037174635000569e-16,0.0,1.0,-4.037174635000569e-16,0.0,1.0,-4.037174635000569e-16,0.0,1.0,-4.037174635000569e-16,0.0,1.0,-0.025948124473746746,0.0,1.0,-0.057176661759495075,0.0,1.0,-4.037174635000569e-16,0.0,1.0,-0.00043194796457101216,0.0,1.0,-4.037174635000569e-16,0.0,1.0,2.6515340273081103,1.0,0.0,-4.037174635000569e-16,0.0,1.0,-4.037174635000569e-16,0.0,1.0,-4.037174635000569e-16,0.0,1.0,-0.01741078460591067,0.0,1.0,-4.037174635000569e-16,0.0,1.0,-4.037174635000569e-16,0.0,1.0,-0.035231431784360806,0.0,1.0,-4.037174635000569e-16,0.0,1.0,0.07702046740567675,0.0,0.0,-4.037174635000569e-16,0.0,1.0,-4.037174635000569e-16,0.0,1.0,-0.10426802561635316,0.0,1.0,0.6529158222310404,1.0,0.0,-4.037174635000569e-16,0.0,1.0,-4.037174635000569e-16,0.0,1.0,0.45706199407358206,1.0,0.0,1.0350154941480225,1.0,0.0,-4.037174635000569e-16,0.0,1.0,-0.0013173306900988119,0.0,1.0,1.2641759662306482,1.0,0.0,-0.22515455039454765,0.0,1.0
CPI,100,0.007868641884424044,0.0,0.0,0.05366532237497701,0.0,0.0,0.7230158702680307,1.0,0.0,0.5825284302367164,1.0,0.0,0.0,0.0,,1.3536634562788166,1.0,0.0,-0.13637793277984356,0.0,1.0,0.033997305399738664,0.0,0.0,-0.0038110071456700645,0.0,1.0,0.4226263881827097,0.0,0.0,0.0,0.0,,-0.11562961196478971,0.0,1.0,-0.037134792782608894,0.0,1.0,0.0,0.0,,-0.014684684949762161,0.0,1.0,0.09644549241860068,0.0,0.0,0.10862243481993694,0.0,0.0,-0.13301381502921528,0.0,1.0,1.0798988197286201,1.0,0.0,-0.02371708338332157,0.0,1.0,0.0,0.0,,0.0,0.0,,0.032411396558578165,0.0,0.0,0.03100894470093296,0.0,0.0,0.012463343663793758,0.0,0.0,0.0,0.0,,-0.20674680036589632,0.0,1.0,-0.19219518213977405,1.0,1.0,0.0,0.0,,-0.216270502493086,1.0,1.0,0.03655352869630324,0.0,0.0,0.0,0.0,,0.0,0.0,,2.4771605305615223,1.0,0.0,0.44596790375639905,1.0,0.0,0.27148121098171973,1.0,0.0,-0.027653614821769867,0.0,1.0,0.0,0.0,,0.8941647107384716,1.0,0.0,0.03215607474941784,0.0,0.0,0.01411228316646218,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,-0.0950864854653406,0.0,1.0,0.0,0.0,,-0.09031793364144702,0.0,1.0,0.028491656904304108,0.0,0.0,-0.017150745054969274,0.0,1.0
