method,intra_cor,imp_V0,tr_V0,imp_V1,tr_V1,imp_V2,tr_V2,imp_V3,tr_V3,imp_V4,tr_V4,imp_V5,tr_V5,imp_V6,tr_V6,imp_V7,tr_V7,imp_V8,tr_V8,imp_V9,tr_V9,imp_V10,tr_V10,imp_V11,tr_V11,imp_V12,tr_V12,imp_V13,tr_V13,imp_V14,tr_V14,imp_V15,tr_V15,imp_V16,tr_V16,imp_V17,tr_V17,imp_V18,tr_V18,imp_V19,tr_V19,imp_V20,tr_V20,imp_V21,tr_V21,imp_V22,tr_V22,imp_V23,tr_V23,imp_V24,tr_V24,imp_V25,tr_V25,imp_V26,tr_V26,imp_V27,tr_V27,imp_V28,tr_V28,imp_V29,tr_V29,imp_V30,tr_V30,imp_V31,tr_V31,imp_V32,tr_V32,imp_V33,tr_V33,imp_V34,tr_V34,imp_V35,tr_V35,imp_V36,tr_V36,imp_V37,tr_V37,imp_V38,tr_V38,imp_V39,tr_V39,imp_V40,tr_V40,imp_V41,tr_V41,imp_V42,tr_V42,imp_V43,tr_V43,imp_V44,tr_V44,imp_V45,tr_V45,imp_V46,tr_V46,imp_V47,tr_V47,imp_V48,tr_V48,imp_V49,tr_V49,tr_time
0.5*CPI,0.0,0.021799742319156934,1.0,0.05010596434790393,1.0,0.010347047190379488,1.0,0.003556267394156154,1.0,-0.016951590083535584,1.0,0.0,0.0,0.0004908745044544527,0.0,-0.000854653566713659,0.0,-0.002977741644823173,0.0,0.0041204173628490715,0.0,0.0,0.0,0.0003266959364658928,0.0,0.0006108772716367228,0.0,-0.0007978872251707125,0.0,0.006998848408096059,0.0,0.0014743342269439852,0.0,0.004863969287223102,0.0,0.00015416220779534973,0.0,-0.0001972444222915204,0.0,0.0,0.0,0.0010967686660772191,0.0,0.00021836372512767932,0.0,-0.008508118335099624,0.0,-0.023558840337865317,0.0,0.0,0.0,0.0006490112218930366,0.0,-0.007707928317824464,0.0,0.0,0.0,-0.04163095384813148,0.0,-0.00016885509535408127,0.0,0.029846443679165113,0.0,0.0,0.0,-0.0035902200990048927,0.0,0.0,0.0,0.0,0.0,-0.040221250676550135,0.0,0.001957819893528945,0.0,-0.010060795206263962,0.0,0.0009409379640572535,0.0,0.024381343380003195,0.0,0.012500848579617307,0.0,-0.0006021116874582177,0.0,-0.0005147628331019227,0.0,0.0010763052893064673,0.0,0.1873815634267184,0.0,-0.004507546707720689,0.0,-0.0027493725509427636,0.0,0.0010992245694599334,0.0,-0.0050502162172698095,0.0,0.000795040460907559,0.0,5.667386770248413
0.5*CPI,0.15,0.0012671476889194455,1.0,-0.0026932131706460805,1.0,0.0,1.0,-0.016304884324984226,1.0,0.03906186993270033,1.0,0.011217774824976212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00019247377324993487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006812714825417121,0.0,0.0,0.0,-0.0025203336308183832,0.0,-0.008509856070501032,0.0,0.0052214446312846,0.0,0.0,0.0,-0.02560419298413552,0.0,-0.06730369243691903,0.0,0.007454869764729644,0.0,0.0,0.0,0.0,0.0,2.6063683415067374e-05,0.0,0.0,0.0,0.0,0.0,0.0032165670751493902,0.0,-0.00013942949589940135,0.0,-3.520999910833211e-05,0.0,0.0,0.0,0.0012634816768006818,0.0,0.0,0.0,0.0016973572197931386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00046936684929388406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043583843816841217,0.0,0.003133466804585261,0.0,-0.008596086609739206,0.0,0.0,0.0,0.00399761887873229,0.0,0.0,0.0,3.0674595832824707
PFI,0.0,0.021638662159004673,1.0,0.04906775742296199,1.0,0.010328568926956438,1.0,0.0035619460890451426,1.0,-0.01715667371067231,1.0,0.0,0.0,0.000492415288091963,0.0,-0.0008579172548246472,0.0,-0.0029923184240677747,0.0,0.0025617113754441423,0.0,0.0,0.0,0.0003277484568204869,0.0,0.0006127577403822748,0.0,-0.0008009112225956239,0.0,0.006997982403180392,0.0,0.001478231028760324,0.0,0.004868550424394491,0.0,0.00015467230226062778,0.0,2.592484357766267e-05,0.0,0.0,0.0,0.0010998761488781872,0.0,0.001127595503384371,0.0,-0.008573812140777015,0.0,-0.009051645471790049,0.0,0.0,0.0,0.0009818637225615934,0.0,-0.007764276614733889,0.0,0.0,0.0,-0.042686080365796464,0.0,-0.0002828306471895914,0.0,0.029510611008897514,0.0,0.0,0.0,-0.0036089131762383486,0.0,0.0,0.0,0.0,0.0,-0.05449556428250357,0.0,0.00196251812558057,0.0,-0.011725620818824445,0.0,0.0009436778398311807,0.0,-0.02793542369734736,0.0,-0.010374374218272697,0.0,-0.0006043340701488153,0.0,-0.000516640076118291,0.0,0.0010793658934672434,0.0,0.17300083791034992,0.0,-0.004533121679893504,0.0,-0.0027625124323807926,0.0,0.0011023376500435278,0.0,-0.0050802679044722465,0.0,0.0007974139904032285,0.0,22.96601963043213
PFI,0.15,0.006298941077981457,1.0,-0.0017973967559701265,1.0,0.0,1.0,-0.010914761392352812,1.0,0.025830969215106192,1.0,0.007463455216091708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002564865477652445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004543256300313381,0.0,0.0,0.0,-0.0016819556074880726,0.0,-0.005686688504722426,0.0,0.003478563874103502,0.0,0.0,0.0,-0.01717586815704042,0.0,-0.04558315149867598,0.0,0.004964031446373474,0.0,0.0,0.0,0.0,0.0,1.738385527660924e-05,0.0,0.0,0.0,0.0,0.0,0.0021438532129212096,0.0,-9.29995721377086e-05,0.0,-2.3484549798169496e-05,0.0,0.0,0.0,-0.00097189347643023,0.0,0.0,0.0,-0.0011091755599041964,0.0,0.0,0.0,0.0022783347527499664,0.0,0.0,0.0,0.0,0.0,-0.0003130910006929888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029066735398330934,0.0,0.005994275275594374,0.0,-0.005744422643265024,0.0,0.0,0.0,0.002663965233124843,0.0,0.0,0.0,2.5034265518188477
LOCO-W,0.0,0.12001580076908662,1.0,0.6965146171368345,1.0,-0.0014937198311430829,1.0,-0.09277893547171794,1.0,-0.18399056935615463,1.0,0.2134874376059815,0.0,0.0692350035863844,0.0,0.060851251925328184,0.0,-0.0005989281459203014,0.0,-0.0009223972806137314,0.0,-0.09704440080862088,0.0,-0.029921562580644257,0.0,0.0563530460636624,0.0,0.4719536650264792,0.0,0.05649939222915221,0.0,-0.1733319793213215,0.0,0.6615585777752453,0.0,0.5647760664900401,0.0,-0.2741612591031668,0.0,0.0381103904050187,0.0,-0.06623206834351118,0.0,0.11371325093368763,0.0,0.08549212357585098,0.0,0.010274719598064292,0.0,0.2642584462038414,0.0,-0.06069711159409597,0.0,0.022891931137639765,0.0,-0.06936478472877594,0.0,-0.033712046464517725,0.0,-0.09146857251396161,0.0,-0.06581431355361059,0.0,0.010774030696854264,0.0,-0.08111022363199905,0.0,-0.22482843010858272,0.0,0.09637851640095153,0.0,-0.041728847474794696,0.0,0.12112563339974453,0.0,-0.05243218987461669,0.0,0.009786191144889794,0.0,-0.1528106686283815,0.0,0.005928520867362048,0.0,-0.6461732745691093,0.0,0.04610030113873847,0.0,0.038605685662323586,0.0,-0.18036129304344162,0.0,-0.1544342103105191,0.0,0.19169184962248503,0.0,-0.02440998040628361,0.0,0.15821536569032443,0.0,0.03402644731136916,0.0,229.65039730072021
LOCO-W,0.15,0.07023016523549162,1.0,0.07443551529568179,1.0,0.02251231400660196,1.0,-0.06218846480443685,1.0,-0.12306881528559181,1.0,0.012387287976368233,0.0,-0.007713368612577761,0.0,-0.4485239534656931,0.0,-0.3749323500397021,0.0,-0.008908538278876029,0.0,-0.035743252058515765,0.0,0.013266815399466246,0.0,-0.09315739892289421,0.0,-0.01799838310405505,0.0,0.03350973862976718,0.0,0.04561162195646593,0.0,-0.08150977324053206,0.0,-0.12481917395214318,0.0,-0.08480035251068849,0.0,-0.42566026203353613,0.0,0.0698525458732077,0.0,0.05212641761464331,0.0,-0.06983438038307284,0.0,-0.0317774007300081,0.0,0.4812747376130929,0.0,0.0009529548001892166,0.0,0.39269006306187637,0.0,0.45775511362206595,0.0,-0.057346456448355884,0.0,0.01465821437842919,0.0,-0.08799826897542148,0.0,0.0005422451509501532,0.0,0.04996486170791232,0.0,0.03627976448419818,0.0,-0.3278763614399876,0.0,-0.09103125885868174,0.0,-0.40886016341609416,0.0,0.11429632044153996,0.0,0.020580651676576304,0.0,-0.31273489001120824,0.0,0.4336012016142214,0.0,0.03245722385667916,0.0,-0.03442022466818489,0.0,-0.013095553512515878,0.0,-0.053600397593949606,0.0,0.0788814931606969,0.0,0.0466758210093072,0.0,0.4214291728005171,0.0,-0.03970579058379894,0.0,-0.04507115320298862,0.0,229.19928669929504
LOCO-HD,0.0,-0.006409757765533097,1.0,-0.054696856803092775,1.0,0.008504682001109432,1.0,0.0071625320249137925,1.0,0.013360340624007483,1.0,0.014011360201780398,0.0,0.002420224648548963,0.0,-0.01450409978545053,0.0,0.0057898261512002724,0.0,0.01641326919421693,0.0,-0.010472291203974637,0.0,-0.02250687670064977,0.0,-0.0046787840949064075,0.0,-0.02255443631193399,0.0,-0.016854469677486716,0.0,-0.002866735463957215,0.0,-0.004365323386618214,0.0,0.0018941946922667041,0.0,-0.024801750005338796,0.0,0.0038848416036526556,0.0,-0.0364325784759677,0.0,0.001871993753555068,0.0,0.015283762035079862,0.0,-0.03521918024912962,0.0,-0.012353718163791272,0.0,0.031028694691587422,0.0,0.0048335030588114725,0.0,0.02128456104889742,0.0,-0.09572253074374637,0.0,-0.03244661198325971,0.0,0.05402580814409941,0.0,0.014877457717057396,0.0,-0.00737271191677058,0.0,-0.0010264239955417587,0.0,-0.02458666814920918,0.0,-0.08605327036594601,0.0,-0.02175856978032309,0.0,-0.05500093152611263,0.0,-0.013223423021702208,0.0,0.0006107490936985149,0.0,-0.04343911999725858,0.0,0.013779162703298153,0.0,-0.017754510190264194,0.0,-0.029523012960731787,0.0,0.12493052036497643,0.0,0.008313801192263881,0.0,0.027271655339803358,0.0,-0.022155821286473976,0.0,0.006901558226809046,0.0,0.0043252746575228596,0.0,65.93269515037537
LOCO-HD,0.15,-0.07354714091849202,1.0,-0.023405896340802368,1.0,0.420714104070286,1.0,0.17222018312188592,1.0,0.1863616566132955,1.0,0.06511681165566952,0.0,0.013806613317163485,0.0,0.019368892556296036,0.0,0.4503316721753965,0.0,-0.010956453155749557,0.0,0.002961327605620845,0.0,-0.0022085640464584166,0.0,-0.014665763356317196,0.0,0.0014462018839958013,0.0,0.009050893612521094,0.0,-0.0033190258838375897,0.0,-0.018118146113967448,0.0,0.6424486165744421,0.0,0.4812807037085647,0.0,0.10796371127717563,0.0,0.3182562136500491,0.0,-0.004421039844324959,0.0,-0.0005836607199989352,0.0,-0.012326572372013178,0.0,0.43705201639261393,0.0,-0.0005262029717338912,0.0,-0.01557795973397047,0.0,0.06127756661696182,0.0,0.004848477699163745,0.0,0.012389623061334731,0.0,-0.026277386246407186,0.0,-0.016841533996616587,0.0,0.0008679506753477284,0.0,0.04661627779443034,0.0,-0.00026501521933441907,0.0,-0.027909245026999763,0.0,-0.008230305208301036,0.0,-0.01523860964976631,0.0,0.022192473565923354,0.0,-0.0197768673641483,0.0,0.01658921367296262,0.0,0.007756804779675441,0.0,-0.027043246022803835,0.0,-0.023093023902423848,0.0,0.013674313791830262,0.0,-0.07436797862324251,0.0,0.02989925554313322,0.0,0.03242730204214217,0.0,-0.0057542970216730716,0.0,-0.01313058677210277,0.0,65.85822534561157
Robust-CPI,0.0,0.012392774636632879,1.0,-0.02656183103061109,1.0,0.0021489512694943865,1.0,0.016517864930127454,1.0,0.014305945149956999,1.0,4.749901025936541e-06,0.0,0.0002394782256494436,0.0,-8.710380426309298e-05,0.0,-0.0023224643421597287,0.0,0.002095242327550792,0.0,0.0005212374476835293,0.0,-0.004078867714851372,0.0,-6.293349758122105e-05,0.0,2.8081489699430502e-05,0.0,0.004924358442328838,0.0,0.0052969492865334086,0.0,0.007804079895518023,0.0,0.00106338381524215,0.0,-0.0005068927362440367,0.0,0.0006891946521749646,0.0,0.00021847261902100098,0.0,0.0004743897975609005,0.0,-0.01498117168227019,0.0,-0.028460363392878666,0.0,0.0,0.0,0.001669333751780456,0.0,-0.014566474918841625,0.0,-0.0005882648359588728,0.0,-0.07325282785321065,0.0,-7.714175573921138e-05,0.0,-0.024658741702946664,0.0,0.00019450518706321982,0.0,-0.009144510847959813,0.0,0.0,0.0,-0.00015344203738700622,0.0,-0.03826146264103774,0.0,0.001472858823728839,0.0,-0.01317709337628153,0.0,0.0018531158186179725,0.0,-0.011364910159498648,0.0,0.0030872652399691817,0.0,-0.00039136220444248933,0.0,0.0006179811698966722,0.0,0.0019597410265508926,0.0,0.05204233852000155,0.0,-0.0035900751334975874,0.0,-0.0038347121291723322,0.0,0.0011535810695866894,0.0,-0.0054912393093588885,0.0,0.0012192740118403696,0.0,5.841291904449463
Robust-CPI,0.15,-0.0007449684909532905,1.0,-0.0030245921946865776,1.0,0.0,1.0,-0.04936707866849128,1.0,0.08075496351242041,1.0,0.0027506243568745344,0.0,1.5449790738470366e-05,0.0,0.0001882495966390704,0.0,-0.00017684482630367623,0.0,-0.00035149824739006357,0.0,1.8527536513071848e-05,0.0,0.0014704570377530792,0.0,-0.007898971537897122,0.0,-0.0003968621837343892,0.0,0.0010267805677881144,0.0,-0.004165173043296474,0.0,0.008842028628438425,0.0,0.007564893757443917,0.0,0.0,0.0,-0.05603895240002942,0.0,-0.09718335202542748,0.0,-0.002820187877154384,0.0,-0.0004957989367904148,0.0,-0.0023991690303085374,0.0,0.0023163638377471877,0.0,2.0581169394194955e-05,0.0,0.0010097174443571529,0.0,0.02594332561555673,0.0,-0.0011416884212160513,0.0,-2.561256250280505e-05,0.0,-0.0008130907683888789,0.0,0.0017410228115229257,0.0,-3.0322355735392456e-05,0.0,-0.0013330718317903425,0.0,0.00019707044966687062,0.0,0.0013353763858579206,0.0,-0.0006622431099081248,0.0,-0.0006342070768396788,0.0,-0.001117290256338938,0.0,-0.0003625975517585932,0.0,0.0007973914477720324,0.0,0.0009391245580856668,0.0,0.0,0.0,0.0,0.0,0.0002062871195075321,0.0,-0.06044063361295118,0.0,-0.0403677253062879,0.0,0.0021761992317284847,0.0,0.005525300598426112,0.0,0.0,0.0,3.1472253799438477
0.5*CPI,0.0,0.0060971926479821414,1.0,0.03534178902939178,1.0,0.0,1.0,0.03626084881340419,1.0,0.0018715111100972015,1.0,0.00017085062207067292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007801147236011552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021241650605116902,0.0,0.0,0.0,-0.0038899466080566936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008455957094497646,0.0,0.0,0.0,0.0,0.0,-0.003045424364410909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015485564432392462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019520831769298086,0.0,-0.0007814472555969787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018273867024998225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07712490041951137,0.0,0.0,0.0,0.001506547886961307,0.0,0.0,0.0,3.566713809967041
0.5*CPI,0.15,0.017448846249586314,1.0,-0.009518079066260676,1.0,0.003928039039159614,1.0,0.014086210526521814,1.0,-0.002552880874566621,1.0,-0.010097908562274771,0.0,0.01112326814612341,0.0,0.001084449780769825,0.0,0.0038801040478634308,0.0,0.002115439336963343,0.0,-0.006338902980832395,0.0,2.0309175490784703e-05,0.0,-0.006803322533872613,0.0,-0.00038370745659943584,0.0,2.1820335195377183e-06,0.0,-0.0011921630939994987,0.0,-0.027431919528347448,0.0,-0.008115673915644828,0.0,-0.02094095033339438,0.0,-0.010930531860405712,0.0,-0.0025542020216556827,0.0,-0.001936183208882336,0.0,0.012200761028821172,0.0,-0.03591177446879468,0.0,0.014126623345763978,0.0,0.0011592055349755048,0.0,0.029901194447889967,0.0,-0.0503420306963025,0.0,-0.003946681328718116,0.0,0.0033805066216847646,0.0,-0.036454778605057525,0.0,0.04077683764040907,0.0,0.004948248978773884,0.0,-0.0010235065462890214,0.0,0.013608183423850617,0.0,-0.006203498111382655,0.0,0.003174209229156788,0.0,0.0032856172656654525,0.0,-0.005862989238764382,0.0,-0.00663003582415489,0.0,-0.016097319708939684,0.0,0.02379024431278376,0.0,0.0038478840602083064,0.0,0.06850581326433525,0.0,0.004869654603280593,0.0,-0.035591236885822664,0.0,0.009233270069553878,0.0,-0.0010418918678856137,0.0,-0.008632977954615928,0.0,-0.005082205421614749,0.0,3.0575239658355713
PFI,0.0,0.006941717358048272,1.0,0.02500028277404165,1.0,0.0,1.0,0.04050928211818161,1.0,0.004972808060141998,1.0,0.0001952651198986466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008871939023797126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02395191080137571,0.0,0.0,0.0,-0.004457671292066312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01040492749578048,0.0,0.0,0.0,0.0,0.0,-0.0034879558726269577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017883196632227483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022035340003461745,0.0,-0.0008936719197946141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020912521552561847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09311065071515578,0.0,0.0,0.0,0.0017203338142648406,0.0,0.0,0.0,2.8200225830078125
PFI,0.15,0.014068451832132123,1.0,-0.007742199763132618,1.0,0.003181015196222381,1.0,0.019746235116652633,1.0,-0.002071787417773141,1.0,-0.008215426098728829,0.0,0.008986748970739589,0.0,0.0008790313984605724,0.0,0.003142245679609079,0.0,0.0017141489242022967,0.0,-0.005150764336496527,0.0,1.646793278120562e-05,0.0,-0.005528984550582816,0.0,-0.00031117502008326525,0.0,1.769337976353924e-06,0.0,-0.0009670650274604675,0.0,-0.01680510366272392,0.0,-0.0065983852167839085,0.0,-0.017098865276411468,0.0,-0.008895289345263846,0.0,-0.001954913607154607,0.0,-0.0015709879224248269,0.0,0.00985382924448186,0.0,-0.03138784370440484,0.0,0.01140210484722659,0.0,-0.007177129893627177,0.0,0.024012129716428632,0.0,-0.04151961587604669,0.0,-0.0032043971977204766,0.0,0.0027381020661019217,0.0,-0.02992300103487988,0.0,0.03263284971666791,0.0,0.004005866442321926,0.0,-0.0008302072528139082,0.0,0.010985500346955224,0.0,-0.00490324944105569,0.0,0.0025711815992428555,0.0,0.002661327474859476,0.0,-0.004763304134169255,0.0,-0.005387847374347388,0.0,-0.013122604114883085,0.0,0.01914216699515703,0.0,0.0031161856749521988,0.0,0.054351429494085,0.0,0.003942341554125539,0.0,-0.029205585036045312,0.0,0.0074643657087030135,0.0,-0.0008451254386407925,0.0,-0.007020178957026335,0.0,-0.004127901711103998,0.0,2.544663429260254
LOCO-W,0.0,-0.32870040512078225,1.0,0.07827013050796766,1.0,0.1725873832613962,1.0,0.07245332706251532,1.0,-0.06783305781045693,1.0,0.3262014041754609,0.0,-0.13504456545690857,0.0,0.10636138025202416,0.0,0.20549247387282363,0.0,0.22914511071084723,0.0,-0.0036019516165459735,0.0,0.5413270283558163,0.0,0.061436485514205184,0.0,0.22163796909808642,0.0,0.056244391655129074,0.0,-0.06732133633451111,0.0,0.6135311732446286,0.0,0.10598602842391286,0.0,-0.08739612458903613,0.0,-0.07452893522401921,0.0,0.15087134219337267,0.0,-0.16423277460421193,0.0,-0.7484959725363811,0.0,-0.5484068865472829,0.0,-0.01842039268197111,0.0,0.1442247181255787,0.0,-0.05203339161089291,0.0,0.09552723350512592,0.0,0.6036006203707859,0.0,0.04264979010526681,0.0,0.6548213085224097,0.0,0.12898979270787705,0.0,-0.05869499415517503,0.0,0.025546389385453703,0.0,0.04081312985780802,0.0,-0.234163135626873,0.0,0.17841707429944867,0.0,0.23697969459094212,0.0,-0.08982550250053307,0.0,-0.026483044880134716,0.0,-0.10932500102399599,0.0,0.04322465862293902,0.0,0.16016535847965893,0.0,-0.13329326391520624,0.0,-0.2054451387639227,0.0,0.03140602541726251,0.0,-0.14718259544455947,0.0,-0.1439521459087487,0.0,-0.08902422358805756,0.0,0.03724606013441195,0.0,231.7560019493103
LOCO-W,0.15,0.4829088048155828,1.0,0.06887010282974956,1.0,0.08200522167377543,1.0,0.15867947762171872,1.0,0.006142829112428828,1.0,-0.06951249355971255,0.0,-0.38972363945903316,0.0,-0.049295074875629764,0.0,0.2210980309261747,0.0,0.023837906822912945,0.0,-0.17146007494867846,0.0,-0.07497849837724953,0.0,-0.046604348051581604,0.0,0.10349902943980441,0.0,-0.329328377035881,0.0,0.09708353933750241,0.0,0.09660439390524084,0.0,0.042506790748660775,0.0,0.0769227356673276,0.0,0.22690033305516774,0.0,-0.14513323780000587,0.0,-0.1391520150224856,0.0,0.040485401261900505,0.0,0.005835476012530218,0.0,-0.07567375361383684,0.0,-0.03240926775258778,0.0,0.12386454491611083,0.0,-0.043026062919093805,0.0,-0.13527726699390055,0.0,-0.056147401620392175,0.0,-0.022216000261889305,0.0,0.1744134695675743,0.0,-0.14006370917222988,0.0,0.04068312081826852,0.0,-0.08913640733823572,0.0,-0.03080869242579779,0.0,-0.0025629671689871864,0.0,0.09682272965742929,0.0,0.05541598830118276,0.0,0.062001423364182615,0.0,0.0701540672091103,0.0,-0.002880017795415378,0.0,-0.13416772318011871,0.0,0.04299823407991602,0.0,-0.014540205034932224,0.0,-0.02496227917104949,0.0,0.028580247676991896,0.0,-0.5696493364542116,0.0,-0.038160363729097466,0.0,0.03355992595108244,0.0,228.49444818496704
LOCO-HD,0.0,0.021866358623083837,1.0,0.22897678039957425,1.0,-0.017568505973579507,1.0,0.24074768142420733,1.0,-0.013897510438524607,1.0,0.005066352797273188,0.0,0.004810951319306089,0.0,-0.002512250808808014,0.0,0.0038974271131623217,0.0,0.01018985116236959,0.0,-0.010276113558456368,0.0,0.00773809383782853,0.0,0.022240580645630947,0.0,0.006766114792027822,0.0,-0.0007298778026131325,0.0,-0.010341329877744165,0.0,-0.010890386934471752,0.0,0.025282466365952327,0.0,-0.007124763253636868,0.0,0.0021889339327468837,0.0,-0.004506561649264995,0.0,0.0010556946044780746,0.0,0.00019694619178045603,0.0,-0.05543990106423469,0.0,0.012614138670430597,0.0,0.0002026891493914773,0.0,0.000521345867698142,0.0,0.004832364744877138,0.0,0.003392413897167712,0.0,0.006679475251202938,0.0,0.009502851433934034,0.0,0.0708298533012598,0.0,0.015203960271922501,0.0,0.008807890160693943,0.0,-0.02269584161673699,0.0,-0.026086635474312447,0.0,-0.010914834477661284,0.0,-0.00962523770377377,0.0,0.017166959759218225,0.0,-0.013006831773790584,0.0,0.000881086029963396,0.0,0.002496828267787521,0.0,-0.019495997339209148,0.0,0.00029836698515683935,0.0,-0.016170601978905075,0.0,-0.0022539897462074965,0.0,-0.08739535561925738,0.0,-0.017365904602956506,0.0,-0.020571855341089074,0.0,0.023898299476125873,0.0,61.9302978515625
LOCO-HD,0.15,-0.09475714121332035,1.0,0.032121451936644174,1.0,0.020254782823679207,1.0,-0.2441167754236191,1.0,0.2287056720226499,1.0,-0.17170725854023905,0.0,-0.060559738677755215,0.0,-0.10306184842839516,0.0,0.19550849078644572,0.0,0.0635894458390951,0.0,0.08961966340409888,0.0,0.02305834347564506,0.0,0.14971061162910182,0.0,0.19675563919022454,0.0,-0.1305502055374781,0.0,-0.19000966530476493,0.0,-0.08805405794464383,0.0,0.06989897060916173,0.0,-0.05503239469511034,0.0,-0.027985344904281506,0.0,0.1252152242856579,0.0,0.10155610121756564,0.0,-0.16055592233006477,0.0,-0.2469828253746984,0.0,0.0005935853684972958,0.0,-0.15104020538820762,0.0,0.09564945112568601,0.0,-0.3671908092858325,0.0,-0.10916040785392189,0.0,0.0753503161675444,0.0,-0.1972624610083138,0.0,0.033321048646256735,0.0,0.09304591276988239,0.0,0.053373810926258924,0.0,-0.022083709123349893,0.0,0.09400623920002271,0.0,0.09300785370088294,0.0,0.1262285316811016,0.0,-0.08608557168634423,0.0,-0.1746440695880931,0.0,0.08075325910855025,0.0,0.06405844837167396,0.0,-0.17673360174604857,0.0,-0.07541748088888478,0.0,0.0197808492991558,0.0,0.0585866269238442,0.0,0.18638596124636608,0.0,0.14098312850394001,0.0,0.030464118961377684,0.0,-0.02210548540535351,0.0,77.51643347740173
Robust-CPI,0.0,0.008165094858691789,1.0,0.059784532077004474,1.0,0.00579048285658488,1.0,0.046173037367747444,1.0,-0.0013399815506758889,1.0,-0.00035772731635595116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05607825988243043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032684010077372365,0.0,0.0,0.0,-0.0038221189375706936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021362256656745272,0.0,0.0,0.0,0.0,0.0,-0.01715404756020823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019685197112253583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013262562466588806,0.0,0.00017660952858731461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004998078617212939,0.0,0.0,0.0,-0.0032722868114143377,0.0,0.0,0.0,-0.09379972311644225,0.0,0.0,0.0,-0.0013545270571519391,0.0,-0.004305601577419801,0.0,3.5737035274505615
Robust-CPI,0.15,0.04691294859375139,1.0,-0.027852988306468915,1.0,0.004463932667033508,1.0,-0.001183832086166388,1.0,0.023222736159821903,1.0,0.012019703088133655,0.0,-0.016593486582658103,0.0,-0.0127990265176827,0.0,0.013004174693805982,0.0,0.001203373705316313,0.0,-0.024082029755871318,0.0,-3.353890735761796e-05,0.0,0.0038752956612585587,0.0,0.00046094724471933515,0.0,-0.0027842242859008807,0.0,0.0006392048757275504,0.0,-0.07564932891656252,0.0,-0.008929347434562883,0.0,-0.07817366208070214,0.0,-0.0347559936941664,0.0,-0.005925173962321476,0.0,-0.004861445314897728,0.0,-0.007041162421109445,0.0,-0.0182390190025465,0.0,-0.03234007220468082,0.0,0.013074325598183152,0.0,0.014746525356096026,0.0,-0.037225599037383254,0.0,-0.013056522995561178,0.0,0.002969803685117789,0.0,-0.1356259864886633,0.0,0.06459798097454904,0.0,0.010171530427682011,0.0,-0.01751535739872462,0.0,0.010655030912496017,0.0,-0.013406058815563782,0.0,0.00492532782103261,0.0,0.013179859895141689,0.0,-0.012910923767209108,0.0,-0.006255017021108019,0.0,-0.0310106951006423,0.0,0.005019064313511129,0.0,0.002826906932692194,0.0,0.0690189188790503,0.0,0.006502080963691859,0.0,-0.025592028393125164,0.0,0.02132821185219584,0.0,-0.0009209909840009315,0.0,-0.07442071769204689,0.0,-0.005549082008065839,0.0,2.961399555206299
